frame,blink,rubbing,head_tilt_state,head_tilt_angle,face_detected,pose_detected
1,0,False,0,,True,True
2,0,False,0,,True,True
3,0,False,0,,True,True
4,0,False,0,,True,True
5,0,False,0,,True,True
6,0,False,0,,True,True
7,0,False,0,,True,True
8,0,False,0,,True,True
9,0,False,0,,True,True
10,0,False,0,,True,True
11,0,False,0,,True,True
12,0,False,0,,True,True
13,0,False,0,,True,True
14,0,False,0,,True,True
15,0,False,0,,True,True
16,0,False,0,,True,True
17,0,False,0,,True,True
18,0,False,0,,True,True
19,0,False,0,,True,True
20,0,False,0,,True,True
21,0,False,0,,True,True
22,0,False,0,,True,True
23,0,False,0,,True,True
24,0,False,0,,True,True
25,0,False,0,,True,True
26,0,False,0,,True,True
27,0,False,0,,True,True
28,0,False,0,,True,True
29,0,False,0,,True,True
30,0,False,0,,True,True
31,0,False,0,,True,True
32,0,False,0,,True,True
33,0,False,0,,True,True
34,0,False,0,,True,True
35,0,False,0,,True,True
36,0,False,0,,True,True
37,0,False,0,,True,True
38,0,False,0,,True,True
39,0,False,0,,True,True
40,0,False,0,,True,True
41,0,False,0,,True,True
42,0,False,0,,True,True
43,0,False,0,,True,True
44,0,False,0,,True,True
45,0,False,0,,True,True
46,0,False,0,,True,True
47,0,False,0,,True,True
48,0,False,0,,True,True
49,0,False,0,,True,True
50,0,False,0,,True,True
51,0,False,0,,True,True
52,0,False,0,,True,True
53,0,False,0,,True,True
54,0,False,0,,True,True
55,0,False,0,,True,True
56,0,False,0,,True,True
57,0,False,0,,True,True
58,0,False,0,,True,True
59,0,False,0,,True,True
60,0,False,0,,True,True
61,0,False,0,,True,True
62,0,False,0,,True,True
63,0,False,0,,True,True
64,0,False,0,,True,True
65,0,False,0,,True,True
66,0,False,0,,True,True
67,0,False,0,,True,True
68,0,False,0,,True,True
69,0,False,0,,True,True
