frame,blink,perclos,rubbing,head_tilt_state,head_tilt_angle,yawn,key_presses,active_keys,keyboard_burst,mouse_clicks,mouse_distance_px,mouse_speed_px_s,mouse_active,idle_ms,face_detected,pose_detected
0,0,0,0,0,6.1111715097752075,0,0,0,0,1,1.0,8.16384510569757,1,0.0,1,1
1,0,0,0,0,5.61563440196477,0,0,0,0,0,0.0,0.0,0,85.4719999988447,1,1
2,0,0,0,0,6.688571518799041,0,0,0,0,0,0.0,0.0,0,233.03259999920556,1,1
3,0,0,0,0,6.272418203455904,0,0,0,0,0,0.0,0.0,0,348.0045999986032,1,1
4,0,0,0,0,7.457688025981742,0,0,0,0,0,0.0,0.0,0,467.1645999987959,1,1
5,0,0,0,0,7.627064233436802,0,0,0,0,0,18.973665961010276,121.60041863585901,1,0.0,1,1
6,0,0,0,0,9.26282517469932,0,0,0,0,0,531.3200542046197,4409.7341992772135,1,0.0,1,1
7,0,0,0,0,9.665066512244355,0,0,0,0,0,40.26164427839479,367.46744658214567,1,0.0,1,1
8,0,0,0,0,8.55555824341289,0,0,0,0,0,6.324555320336759,51.480381302295584,1,0.0,1,1
9,0,0,0,0,7.974454679197838,0,0,0,0,0,1.0,8.002138171297961,1,0.0,1,1
10,0,0,0,0,6.88172363063695,0,0,0,0,0,0.0,0.0,0,115.1358999995864,1,1
11,0,0,0,0,6.25743429814621,0,0,0,0,0,190.70395905696347,1697.5122575847176,1,0.0,1,1
12,0,0,0,0,4.417509351535072,0,0,0,0,0,542.0673389902771,4912.807048416401,1,0.0,1,1
13,0,0,0,0,4.867156988238916,0,0,0,0,0,30.59411708155671,269.0668978067565,1,0.0,1,1
14,0,0,0,0,4.0078045423723365,0,0,0,0,0,1.4142135623730951,13.41215240480632,1,0.0,1,1
15,0,0,0,0,4.9060669856477865,0,0,0,0,0,1.0,8.352613950550163,1,0.0,1,1
16,0,0,0,0,3.5689184056479952,0,0,0,0,0,1.0,8.966430580559479,1,0.0,1,1
17,0,0,0,0,4.545335308748828,0,0,0,0,0,0.0,0.0,0,112.39890000069863,1,1
18,0,0,0,0,2.59694882155244,0,0,0,0,0,1.0,9.224658249490533,1,0.0,1,1
19,0,0,0,0,4.854235785224592,0,0,0,0,0,0.0,0.0,0,115.52540000047884,1,1
20,0,0,0,0,3.3374427983427855,0,0,0,0,0,1.0,9.001378111085307,1,0.0,1,1
21,0,0,0,0,3.6468859901286734,0,0,0,0,0,0.0,0.0,0,111.61850000098639,1,1
22,0,0,0,0,2.6084824111492355,0,0,0,0,0,0.0,0.0,0,225.22750000098313,1,1
23,0,0,0,0,3.380632263317181,0,0,0,0,0,3.605551275463989,31.826165453655335,1,0.0,1,1
24,0,0,0,0,1.4288501482770604,0,0,0,0,0,0.0,0.0,0,108.58189999999013,1,1
25,0,0,0,0,6.624032634517511,0,0,0,0,0,0.0,0.0,0,247.97140000009676,1,1
26,0,0,0,0,6.25743429814621,0,0,0,0,0,0.0,0.0,0,367.1616999999969,1,1
27,0,0,0,0,3.0802101366458268,0,0,0,0,0,0.0,0.0,0,480.9049999985291,1,1
28,0,0,0,0,3.4048884105270765,0,0,0,0,1,0.0,0.0,0,0.0,1,1
29,0,0,0,0,5.923401477614409,0,0,0,0,0,0.0,0.0,0,127.01030000062019,1,1
30,0,0,0,0,0.911446874686509,0,0,0,0,0,0.0,0.0,0,284.33899999981804,1,1
31,0,0,0,0,3.314094774290512,0,0,0,0,0,0.0,0.0,0,411.12450000036915,1,1
32,0,0,0,0,0.5003870987922329,0,0,0,0,0,0.0,0.0,0,529.7088000006624,1,1
33,0,0,0,0,1.6733333744709136,0,0,0,0,0,0.0,0.0,0,652.2383999999875,1,1
34,0,0,0,0,1.2346317054041167,0,0,0,0,0,0.0,0.0,0,767.4232999997912,1,1
35,0,0,0,0,1.6401798699785095,0,0,0,0,0,0.0,0.0,0,882.1313999997074,1,1
36,0,0,0,0,4.3890968057793724,0,0,0,0,0,0.0,0.0,0,996.6003999998065,1,1
37,0,0,0,0,2.2555606319452415,0,0,0,0,0,0.0,0.0,0,1114.7452000004705,1,1
38,0,0,0,0,2.59694882155244,0,0,0,0,0,0.0,0.0,0,1226.0308999993867,1,1
39,0,0,0,0,4.181926832090759,0,0,0,0,0,0.0,0.0,0,1347.1743000009155,1,1
40,0,0,0,0,3.1934492732832966,0,0,0,0,0,0.0,0.0,0,1463.4648999999627,1,1
41,0,0,0,0,1.9251837083231549,0,0,0,0,0,0.0,0.0,0,1590.0166999999783,1,1
42,0,0,0,0,2.89857679928171,0,0,0,0,0,0.0,0.0,0,1707.052499999918,1,1
43,0,0,0,0,1.4719445157276947,0,0,0,0,1,0.0,0.0,0,0.0,1,1
44,0,0,0,0,4.813550893706532,0,0,0,0,0,0.0,0.0,0,112.64209999899322,1,1
45,0,0,0,0,5.194428907734806,0,0,0,0,0,0.0,0.0,0,223.78799999933108,1,1
46,0,0,0,0,4.1617966753440045,0,0,0,0,0,0.0,0.0,0,333.3376999999018,1,1
47,0,0,0,0,4.822176435741924,0,0,0,0,0,0.0,0.0,0,443.2130999994115,1,1
48,0,0,0,0,5.205124404999612,0,0,0,0,0,0.0,0.0,0,562.3706999995193,1,1
49,0,0,0,0,5.117314849972639,0,0,0,0,0,209.34421415458323,1363.4373387963021,1,0.0,1,1
50,0,0,0,0,6.7098368077569335,0,0,0,0,0,7.615773105863909,49.14936732428748,1,0.0,1,1
51,0,0,0,0,4.304468960507983,0,0,0,0,0,0.0,0.0,0,129.59039999987,1,1
52,0,0,0,0,1.6083142349249275,0,0,0,0,0,0.0,0.0,0,243.35679999967397,1,1
